title,director,country,spine,url,img,year,aspect_ratio,color,description,dir_link,duration,lang,country_code,continent,ar
2 or 3 Things I Know About Her,Jean-Luc Godard,France,482,https://www.criterion.com/films/1333-2-or-3-things-i-know-about-her,https://s3.amazonaws.com/criterion-production/films/2d01c1355a26b42297d80a960899c4f5/93Btri2IgKEjkVfyjMctarS9VtARHo_thumbnail.jpg,1957,2.35:1,Color,"In 2 or 3 Things I Know About Her (2 ou 3 choses que je sais d’elle), Jean-Luc Godard beckons us ever closer, whispering in our ears as narrator. About what? Money, sex, fashion, the city, love, language, war: in a word, everything. Among the legendary French filmmaker’s finest achievements, the film takes as its ostensible subject the daily life of Juliette Janson (Marina Vlady), a housewife from the Paris suburbs who prostitutes herself for extra money. Yet this is only a template for Godard to spin off into provocative philosophical tangents and gorgeous images. 2 or 3 Things I Know About Her is perhaps Godard’s most revelatory look at consumer culture, shot in ravishing widescreen color by Raoul Coutard.",/shop/browse?director=godard-jean-luc,87,French,FR,Europe,2.35
3:10 to Yuma,Delmer Daves,United States,657,https://www.criterion.com/films/27910-3-10-to-yuma,https://s3.amazonaws.com/criterion-production/films/ab1d9b806f1efe28878526241f632b9a/Zm61wXSmEUBWzzoMzmJOGYPvQ8Cg5v_thumbnail.jpg,,1.85:1,Black & White,"In this beautifully shot, psychologically complex western, Van Heflin is a mild-mannered cattle rancher who takes on the task of shepherding a captured outlaw (played with cucumber-cool charisma by Glenn Ford) to the train that will deliver him to prison. This apparently simple mission turns into a nerve-racking cat-and-mouse game that tests each man’s particular brand of honor. Based on a story by Elmore Leonard, 3:10 to Yuma is a thrilling, humane action movie, directed by the supremely talented studio filmmaker Delmer Daves with intense feeling and precision.",/shop/browse?director=daves-delmer,92,English,US,North America,1.85
3 Women,Robert Altman,United States,230,https://www.criterion.com/films/712-3-women,https://s3.amazonaws.com/criterion-production/films/75466150cfc0b49b10f051e0c239f3fc/1rrp8R9m37AAxe9ctq9TFKwyYOQ8jW_thumbnail.jpg,,2.35:1,Color,"In a dusty, underpopulated California resort town, a naive southern waif, Pinky Rose (Sissy Spacek), idolizes and befriends her fellow nurse, the would-be sophisticate and “thoroughly modern” Millie Lammoreaux (Shelley Duvall). When Millie takes Pinky in as her roommate, Pinky’s hero worship evolves into something far stranger and more sinister than either could have anticipated. Featuring brilliant performances from Spacek and Duvall, this dreamlike masterpiece from Robert Altman careens from the humorous to the chilling to the surreal, resulting in one of the most unusual and compelling films of the 1970s.",/shop/browse?director=altman-robert,124,English,US,North America,2.35
"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,Romania,958,https://www.criterion.com/films/28617-4-months-3-weeks-and-2-days,https://s3.amazonaws.com/criterion-production/films/65395fe8adf90ac719ea54fb460176fa/l2Q2n24ks84HZnVyuZvxqzIJk55lgR_thumbnail.jpg,1963,2.35:1,Color,"Romanian filmmaker Cristian Mungiu shot to international prominence with this rigorously realistic Palme d’Or–winning second feature. In 1987, during the dictatorship of Nicolae Ceaușescu, college roommates Otilia (Anamaria Marinca) and Găbița (Laura Vasiliu) seek an illegal abortion for Găbița. In unflinching but empathetic detail, the film recounts the events of twenty-four perilous hours in their lives, culminating in their encounter with a manipulative and menacing abortionist (Vlad Ivanov). With powerful performances that accentuate the characters’ flawed humanity, 4 Months, 3 Weeks and 2 Days is a gutting account of the impossible choices women face when taking control of their bodies means breaking the law.",/shop/browse?director=mungiu-cristian,113,Romanian,RO,Europe,2.35
8½,Federico Fellini,Italy,140,https://www.criterion.com/films/150-8-1-2,https://s3.amazonaws.com/criterion-production/films/2ae55be0d1938dcd30082006b5108053/EBSPG1J9ip2HjvJtUmzlDGLM9EtTFX_thumbnail.jpg,1957,1.85:1,Black & White,"Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life. One of the greatest films about film ever made, Federico Fellini’s 8½ (Otto e mezzo) turns one man’s artistic crisis into a grand epic of the cinema. An early working title for 8½ was The Beautiful Confusion, and Fellini’s masterpiece is exactly that: a shimmering dream, a circus, and a magic act.",/shop/browse?director=fellini-federico,138,"English,                                          French,                                          German,                                          Italian",IT,Europe,1.85
12 Angry Men,Sidney Lumet,United States,591,https://www.criterion.com/films/27871-12-angry-men,https://s3.amazonaws.com/criterion-production/films/b64d8d6785c12ae24b029f8b625c3c1a/PMLyOniHrRG3nyansZSwJxghltbxsC_thumbnail.jpg,2017,1.66:1,Black & White,"12 Angry Men, by Sidney Lumet, may be the most radical courtroom drama in cinema history. A behind-closed-doors look at the American legal system that is as riveting as it is spare, this iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room. Lumet’s electrifying snapshot of 1950s America on the verge of change is one of the great feature film debuts.",/shop/browse?director=lumet-sidney,96,English,US,North America,1.66
24 Frames,Abbas Kiarostami,Iran,956,https://www.criterion.com/films/29399-24-frames,https://s3.amazonaws.com/criterion-production/films/22cc8506c3dcd5e77e2d68c09b5f288b/lbWguDGRXPyIVW9oJ1BLa2f1GSAG10_thumbnail.jpg,1935,1.78:1,Color,"For what would prove to be his final film, Iranian director Abbas Kiarostami gave himself a challenge: to create a dialogue between his work as a filmmaker and his work as a photographer, bridging the two art forms to which he had dedicated his life. Setting out to reconstruct the moments immediately before and after a photograph is taken, Kiarostami selected twenty-four still images—most of them stark landscapes inhabited only by foraging birds and other wildlife—and digitally animated each one into its own subtly evolving four-and-a-half-minute vignette, creating a series of poignant studies in movement, perception, and time. A sustained meditation on the process of image making, 24 Frames is a graceful and elegiac farewell from one of the giants of world cinema.",/shop/browse?director=kiarostami-abbas,114,,IR,Asia,1.78
The 39 Steps,Alfred Hitchcock,United Kingdom,56,https://www.criterion.com/films/234-the-39-steps,https://s3.amazonaws.com/criterion-production/films/aacbf709cba74e607ae657b7ea6ff1cf/2jsGvFmN8GvcK82SeP32fOu0YpUx1i_thumbnail.jpg,2015,1.33:1,Black & White,"A heart-racing spy story by Alfred Hitchcock, The 39 Steps follows Richard Hannay (Robert Donat) as he stumbles upon a conspiracy that thrusts him into a hectic chase across the Scottish moors—a chase in which he is both the pursuer and the pursued—as well as into an unexpected romance with the cool Pamela (Madeline Carroll). Adapted from a novel by John Buchan, this classic wrong-man thriller from the Master of Suspense anticipates the director’s most famous works (especially North by Northwest), and remains one of his cleverest and most entertaining films.",/shop/browse?director=hitchcock-alfred,86,English,GB,Europe,1.33
45 Years,Andrew Haigh,United Kingdom,861,https://www.criterion.com/films/28908-45-years,https://s3.amazonaws.com/criterion-production/films/30b643cfea431b3b50606249f145a888/RFDmoYxUdM1EcSWfagb3bhMvnINOWF_thumbnail.jpg,1941,1.85:1,Color,"In this exquisitely calibrated film, Charlotte Rampling and Tom Courtenay perform a subtly off-kilter pas de deux as Kate and Geoff, an English couple who, on the eve of an anniversary celebration, find their long marriage shaken by the arrival of a letter to Geoff that unceremoniously collapses his past into their shared present. Director Andrew Haigh carries the tradition of British realist cinema to artful new heights in 45 Years, weaving the momentous into the mundane as the pair go about their daily lives, while the evocatively flat, wintry Norfolk landscape frames their struggle to maintain an increasingly untenable status quo. Loosely adapting a short story by David Constantine, Haigh shifts the focus from the slightly erratic Geoff to Kate, eliciting a remarkable, nuanced portrayal by Rampling of a woman’s gradual metamorphosis from unflappable wife to woman undone.",/shop/browse?director=haigh-andrew,95,English,GB,Europe,1.85
49th Parallel,Michael Powell,United Kingdom,376,https://www.criterion.com/films/520-49th-parallel,https://s3.amazonaws.com/criterion-production/films/da2032b3d3115969152fd4f442094cbd/yunzkLos81PnuwixO24PC6ZH8Nc4vM_thumbnail.jpg,0,1.33:1,Black & White,"At once a compelling piece of anti-isolationist propaganda and a quick-witted wartime thriller, 49th Parallel is a classic early work from the inimitable British filmmaking team of Michael Powell and Emeric Pressburger. When a Nazi U-boat crew, headed by the ruthless Eric Portman, is stranded in Canada during the thick of World War II, the men evade capture by hiding out in a series of rural communities, before trying to cross the border into the still-neutral United States. Both soul-stirring and delightfully entertaining, 49th Parallel features a colorful cast of characters played by larger-than-life actors Laurence Olivier, Raymond Massey, Anton Walbrook, and Leslie Howard.",/shop/browse?director=powell-michael,123,English,GB,Europe,1.33
