ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,longitude,latitude
BIKF,large_airport,Keflavik International Airport,171.0,EU,IS,IS-2,Reykjavík,BIKF,KEF,,63.985000610352,-22.605600357056
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,118.0,,CA,CA-QC,Montréal,CYUL,YUL,YUL,45.4706001282,-73.7407989502
CYVR,large_airport,Vancouver International Airport,14.0,,CA,CA-BC,Vancouver,CYVR,YVR,,49.193901062,-123.183998108
CYYC,large_airport,Calgary International Airport,3557.0,,CA,CA-AB,Calgary,CYYC,YYC,,51.113899231,-114.019996643
CYYZ,large_airport,Lester B. Pearson International Airport,569.0,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ,43.6772003174,-79.63059997559999
DGAA,large_airport,Kotoka International Airport,205.0,AF,GH,GH-AA,Accra,DGAA,ACC,,5.605189800262451,-0.16678600013256073
DNMM,large_airport,Murtala Muhammed International Airport,135.0,AF,NG,NG-LA,Lagos,DNMM,LOS,,6.5773701667785645,3.321160078048706
EBBR,large_airport,Brussels Airport,184.0,EU,BE,BE-BRU,Brussels,EBBR,BRU,,50.901401519800004,4.48443984985
EDDF,large_airport,Frankfurt am Main Airport,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,50.033333,8.570556
EDDL,large_airport,Düsseldorf Airport,147.0,EU,DE,DE-NW,Düsseldorf,EDDL,DUS,,51.289501,6.76678
EDDM,large_airport,Munich Airport,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,,48.353802,11.7861
EFHK,large_airport,Helsinki Vantaa Airport,179.0,EU,FI,FI-ES,Helsinki,EFHK,HEL,,60.317199707031,24.963300704956
EGCC,large_airport,Manchester Airport,257.0,EU,GB,GB-ENG,Manchester,EGCC,MAN,,53.35369873046875,-2.2749500274658203
EGKK,large_airport,London Gatwick Airport,202.0,EU,GB,GB-ENG,London,EGKK,LGW,,51.148102,-0.190278
EGLL,large_airport,London Heathrow Airport,83.0,EU,GB,GB-ENG,London,EGLL,LHR,,51.4706,-0.461941
EHAM,large_airport,Amsterdam Airport Schiphol,-11.0,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,52.308601,4.76389
EIDW,large_airport,Dublin Airport,242.0,EU,IE,IE-D,Dublin,EIDW,DUB,,53.421299,-6.27007
EINN,large_airport,Shannon Airport,46.0,EU,IE,IE-CE,Shannon,EINN,SNN,,52.702,-8.92482
EKCH,large_airport,Copenhagen Kastrup Airport,17.0,EU,DK,DK-84,Copenhagen,EKCH,CPH,,55.617900848389,12.656000137329
ENGM,large_airport,Oslo Gardermoen Airport,681.0,EU,NO,NO-02,Oslo,ENGM,OSL,,60.193901062012,11.100399971008
EPWA,large_airport,Warsaw Chopin Airport,362.0,EU,PL,PL-MZ,Warsaw,EPWA,WAW,,52.1656990051,20.967100143399996
ESSA,large_airport,Stockholm-Arlanda Airport,137.0,EU,SE,SE-AB,Stockholm,ESSA,ARN,,59.651901245117,17.918600082397
GMMN,large_airport,Mohammed V International Airport,656.0,AF,MA,MA-CAS,Casablanca,GMMN,CMN,,33.36750030517578,-7.589970111846924
GOBD,large_airport,Blaise Diagne International Airport,290.0,AF,SN,SN-DK,Dakar,GOBD,DSS,,14.67,-17.073333
HECA,large_airport,Cairo International Airport,382.0,AF,EG,EG-C,Cairo,HECA,CAI,,30.12190055847168,31.40559959411621
HKJK,large_airport,Jomo Kenyatta International Airport,5330.0,AF,KE,KE-110,Nairobi,HKJK,NBO,,-1.31923997402,36.9277992249
LEBL,large_airport,Barcelona International Airport,12.0,EU,ES,ES-CT,Barcelona,LEBL,BCN,,41.2971,2.07846
LEMD,large_airport,Adolfo Suárez Madrid–Barajas Airport,1998.0,EU,ES,ES-M,Madrid,LEMD,MAD,,40.471926,-3.56264
LFPG,large_airport,Charles de Gaulle International Airport,392.0,EU,FR,FR-J,Paris,LFPG,CDG,,49.012798,2.55
LFPO,large_airport,Paris-Orly Airport,291.0,EU,FR,FR-J,Paris,LFPO,ORY,,48.7233333,2.3794444
LHBP,large_airport,Budapest Liszt Ferenc International Airport,495.0,EU,HU,HU-PE,Budapest,LHBP,BUD,,47.42976,19.261093
LIMC,large_airport,Malpensa International Airport,768.0,EU,IT,IT-25,Milan,LIMC,MXP,MI12,45.6306,8.72811
LIRF,large_airport,Leonardo da Vinci–Fiumicino Airport,13.0,EU,IT,IT-62,Rome,LIRF,FCO,RM11,41.8002778,12.2388889
LLBG,large_airport,Ben Gurion International Airport,135.0,AS,IL,IL-M,Tel Aviv,LLBG,TLV,,32.01139831542969,34.88669967651367
LPPT,large_airport,Humberto Delgado Airport (Lisbon Portela Airport),374.0,EU,PT,PT-11,Lisbon,LPPT,LIS,,38.7813,-9.13592
LSGG,large_airport,Geneva Cointrin International Airport,1411.0,EU,CH,CH-GE,Geneva,LSGG,GVA,,46.23809814453125,6.108950138092041
LSZH,large_airport,Zürich Airport,1416.0,EU,CH,CH-ZH,Zurich,LSZH,ZRH,,47.464699,8.54917
LYBE,large_airport,Belgrade Nikola Tesla Airport,335.0,EU,RS,RS-00,Belgrade,LYBE,BEG,,44.8184013367,20.3090991974
MBPV,medium_airport,Providenciales Airport,15.0,,TC,TC-PR,Providenciales Island,MBPV,PLS,,21.77359962463379,-72.26589965820312
MDLR,medium_airport,Casa De Campo International Airport,240.0,,DO,DO-12,La Romana,MDLR,LRM,,18.450700759887695,-68.91179656982422
MDPC,large_airport,Punta Cana International Airport,47.0,,DO,DO-11,Punta Cana,MDPC,PUJ,,18.567399978599997,-68.36340332030001
MDPP,medium_airport,Gregorio Luperon International Airport,15.0,,DO,DO-18,Puerto Plata,MDPP,POP,,19.75790023803711,-70.56999969482422
MDSD,large_airport,Las Américas International Airport,59.0,,DO,DO-01,Santo Domingo,MDSD,SDQ,,18.42970085144,-69.668899536133
MDST,medium_airport,Cibao International Airport,565.0,,DO,DO-25,Santiago,MDST,STI,,19.406099319458008,-70.60469818115234
MGGT,large_airport,La Aurora Airport,4952.0,,GT,GT-GU,Guatemala City,MGGT,GUA,,14.5833,-90.527496
MHLM,medium_airport,Ramón Villeda Morales International Airport,91.0,,HN,HN-CR,San Pedro Sula,MHLM,SAP,,15.4526,-87.923599
MKJP,large_airport,Norman Manley International Airport,10.0,,JM,JM-01,Kingston,MKJP,KIN,,17.935699462890625,-76.7874984741211
MKJS,medium_airport,Sangster International Airport,4.0,,JM,JM-08,Montego Bay,MKJS,MBJ,,18.503700256347656,-77.91339874267578
MMGL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,5016.0,,MX,MX-JAL,Guadalajara,MMGL,GDL,,20.521799087524414,-103.31099700927734
