,Employer,Fiscal Year,Total Approvals,Total Denials,Total Applications
50,COGNIZANT TECH,2010,7005,280,7285
51,COGNIZANT TECH,2011,9592,667,10259
52,COGNIZANT TECH,2012,16173,774,16947
53,COGNIZANT TECH,2013,12399,1151,13550
54,COGNIZANT TECH,2014,18672,1283,19955
55,COGNIZANT TECH,2015,17035,724,17759
56,COGNIZANT TECH,2016,22587,829,23416
57,COGNIZANT TECH,2017,29414,1040,30454
58,COGNIZANT TECH,2018,9315,4368,13683
59,COGNIZANT TECH,2019,9748,4072,13820
106,INFOSYS,2010,7295,323,7618
107,INFOSYS,2011,10126,243,10369
108,INFOSYS,2012,9902,400,10302
109,INFOSYS,2013,12926,569,13495
110,INFOSYS,2014,10525,294,10819
111,INFOSYS,2015,9483,157,9640
112,INFOSYS,2016,14007,436,14443
113,INFOSYS,2017,13951,801,14752
114,INFOSYS,2018,6065,2150,8215
115,INFOSYS,2019,3871,1741,5612
163,TATA CONSULTANCY,2010,290,11,301
164,TATA CONSULTANCY,2011,1898,152,2050
165,TATA CONSULTANCY,2012,8181,322,8503
166,TATA CONSULTANCY,2013,7669,282,7951
167,TATA CONSULTANCY,2014,10890,603,11493
168,TATA CONSULTANCY,2015,9180,417,9597
169,TATA CONSULTANCY,2016,12168,852,13020
170,TATA CONSULTANCY,2017,15017,960,15977
171,TATA CONSULTANCY,2018,8804,1903,10707
172,TATA CONSULTANCY,2019,5434,1868,7302
183,WIPRO LIMITED,2010,3256,145,3401
184,WIPRO LIMITED,2011,5712,512,6224
185,WIPRO LIMITED,2012,7192,187,7379
186,WIPRO LIMITED,2013,6999,272,7271
187,WIPRO LIMITED,2014,9259,419,9678
188,WIPRO LIMITED,2015,6539,379,6918
189,WIPRO LIMITED,2016,7176,358,7534
190,WIPRO LIMITED,2017,7009,376,7385
191,WIPRO LIMITED,2018,3170,713,3883
192,WIPRO LIMITED,2019,2265,919,3184
0,ACCENTURE,2010,97,3,100
1,ACCENTURE,2011,970,13,983
2,ACCENTURE,2012,4401,59,4460
3,ACCENTURE,2013,4270,112,4382
4,ACCENTURE,2014,4693,151,4844
5,ACCENTURE,2015,5906,182,6088
6,ACCENTURE,2016,6930,96,7026
7,ACCENTURE,2017,5130,189,5319
8,ACCENTURE,2018,3060,614,3674
9,ACCENTURE,2019,2177,703,2880
116,INTEL,2010,1856,20,1876
117,INTEL,2011,3226,96,3322
118,INTEL,2012,3224,42,3266
119,INTEL,2013,3578,38,3616
120,INTEL,2014,4238,34,4272
121,INTEL,2015,3334,16,3350
122,INTEL,2016,4103,64,4167
123,INTEL,2017,5280,70,5350
124,INTEL,2018,4293,56,4349
125,INTEL,2019,3801,148,3949
136,MICROSOFT,2010,3674,16,3690
137,MICROSOFT,2011,3823,40,3863
138,MICROSOFT,2012,3439,33,3472
139,MICROSOFT,2013,3897,30,3927
140,MICROSOFT,2014,2983,26,3009
141,MICROSOFT,2015,2827,42,2869
142,MICROSOFT,2016,3662,75,3737
143,MICROSOFT,2017,4094,82,4176
144,MICROSOFT,2018,4477,68,4545
145,MICROSOFT,2019,3257,124,3381
60,DELOITTE,2010,974,9,983
61,DELOITTE,2011,1308,28,1336
62,DELOITTE,2012,1587,49,1636
63,DELOITTE,2013,1702,22,1724
64,DELOITTE,2014,1918,191,2109
65,DELOITTE,2015,1937,325,2262
66,DELOITTE,2016,3241,445,3686
67,DELOITTE,2017,6114,657,6771
68,DELOITTE,2018,5432,1784,7216
69,DELOITTE,2019,4467,2484,6951
20,APPLE,2010,822,12,834
21,APPLE,2011,1440,4,1444
22,APPLE,2012,1752,6,1758
23,APPLE,2013,2014,6,2020
24,APPLE,2014,2908,4,2912
25,APPLE,2015,3383,30,3413
26,APPLE,2016,4097,16,4113
27,APPLE,2017,4153,44,4197
28,APPLE,2018,6204,78,6282
29,APPLE,2019,5496,70,5566
40,CISCO,2010,2631,15,2646
41,CISCO,2011,3037,37,3074
42,CISCO,2012,2481,31,2512
43,CISCO,2013,3117,22,3139
44,CISCO,2014,2939,39,2978
45,CISCO,2015,2483,16,2499
46,CISCO,2016,3480,53,3533
47,CISCO,2017,3263,30,3293
48,CISCO,2018,3541,87,3628
49,CISCO,2019,3240,129,3369
10,AMAZON,2010,524,2,526
11,AMAZON,2011,889,2,891
12,AMAZON,2012,1198,6,1204
13,AMAZON,2013,1665,11,1676
14,AMAZON,2014,1987,18,2005
15,AMAZON,2015,2194,23,2217
16,AMAZON,2016,3235,39,3274
17,AMAZON,2017,5451,55,5506
18,AMAZON,2018,6312,167,6479
19,AMAZON,2019,5677,250,5927
147,QUALCOMM INC,2010,1870,22,1892
148,QUALCOMM INC,2011,2634,42,2676
149,QUALCOMM INC,2012,3867,12,3879
150,QUALCOMM INC,2013,4048,26,4074
151,QUALCOMM INC,2014,3130,16,3146
152,QUALCOMM INC,2015,2508,36,2544
153,QUALCOMM INC,2016,3481,74,3555
154,QUALCOMM INC,2017,2668,32,2700
155,QUALCOMM INC,2018,2447,72,2519
156,QUALCOMM INC,2019,2467,104,2571
86,HCL,2010,289,14,303
87,HCL,2011,1436,17,1453
88,HCL,2012,2656,118,2774
89,HCL,2013,2501,210,2711
90,HCL,2014,2478,83,2561
91,HCL,2015,2936,52,2988
92,HCL,2016,3682,139,3821
