                                                                                                                                                                                                                                                          ,,,,,,,
"Source: USCIS, data as of Nov. 30, 2018. Notes: All data is based on petitions approved during the fiscal year for both initial employment and continuing employment. Petitions approved in a fiscal year may be filed in previous fiscal years. Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter ""H"" replaces the value from which one could deduce the value of ""D"". While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the USCIS electronic data storage system does not capture the education field. Median salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. We excluded employers without tax identification numbers in our system. The H-1B petition may be used to sponsor an alien currently in a different nonimmigrant classification, or with no classification if outside the U.S., for an initial period of H-1B employment (see “initial employment” column below), or to extend or change the authorized stay of an alien currently in H-1B status (see “continuing employment” column below). An employer may file an H-1B petition to sponsor an alien who currently has H-1B nonimmigrant status working for another employer or to amend a previously approved petition; these petitions are counted in the “continuing employment” column below. Initial employment includes both cap-subject and cap-exempt petitions.",,,,,,,
Employer Tax ID     (Last 4 Digits),Employer Name, Number of Beneficiaries ,,, Median Salary , Beneficiary Degree/Dipolma ,
,, Initial Employment , Continuing Employment , Total ,,,
4155,COGNIZANT TECH SOLNS US CORP,500,"8,694","9,194","86,653", Bachelor's ,"6,948"
 , ,   ,   ,   ,   , Master's ,"2,242"
 , ,   ,   ,   ,   , Missing Education , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , High School , D 
 , ,   ,   ,   ,   , Professional Degree , D 
9806,TATA CONSULTANCY SVCS LTD,527,"8,124","8,651","75,000", Bachelor's ,"6,811"
 , ,   ,   ,   ,   , Master's ,"1,835"
 , ,   ,   ,   ,   , Some College , D 
 , ,   ,   ,   ,   , Associate Degree , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , High School , D 
235,INFOSYS LIMITED,65,"5,865","5,930","81,058", Bachelor's ,"4,453"
 , ,   ,   ,   ,   , Master's ,"1,453"
 , ,   ,   ,   ,   , Professional Degree ,20
 , ,   ,   ,   ,   , High School , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
4513,DELOITTE CONSULTING LLP,694,"4,629","5,323","107,100", Bachelor's ,"3,296"
 , ,   ,   ,   ,   , Master's ,"2,008"
 , ,   ,   ,   ,   , Doctorate ,13
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Some College , D 
4442,MICROSOFT CORPORATION,"1,265","3,211","4,476","131,011", Master's ,"2,669"
 , ,   ,   ,   ,   , Bachelor's ,"1,621"
 , ,   ,   ,   ,   , Doctorate ,184
 , ,   ,   ,   ,   , Missing Education , D 
 , ,   ,   ,   ,   , Professional Degree , D 
4687,AMAZON COM SERVICES INC,"2,396","1,987","4,383","125,000", Master's ,"2,971"
 , ,   ,   ,   ,   , Bachelor's ,"1,247"
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
3581,GOOGLE LLC,782,"2,606","3,388","140,000", Master's ,"2,332"
 , ,   ,   ,   ,   , Bachelor's ,716
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
4110,APPLE INC,708,"2,388","3,096","145,000", Master's ,"1,996"
 , ,   ,   ,   ,   , Bachelor's ,784
 , ,   ,   ,   ,   , Doctorate ,298
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Some College , D 
 , ,   ,   ,   ,   , Associate Degree , D 
 , ,   ,   ,   ,   , No Diploma , D 
 , ,   ,   ,   ,   , Missing Education , D 
4401,WIPRO LIMITED,275,"2,815","3,090","74,818", Bachelor's ,"1,783"
 , ,   ,   ,   ,   , Master's ,"1,259"
 , ,   ,   ,   ,   , Associate Degree ,45
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , High School , D 
2904,ACCENTURE LLP,357,"2,675","3,032","82,955", Bachelor's ,"2,202"
 , ,   ,   ,   ,   , Master's ,822
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Missing Education , D 
 , ,   ,   ,   ,   , High School , D 
 , ,   ,   ,   ,   , No Diploma , D 
5929,CAPGEMINI AMERICA INC,277,"2,693","2,970","90,000", Bachelor's ,"1,998"
 , ,   ,   ,   ,   , Master's ,964
 , ,   ,   ,   ,   , High School , D 
 , ,   ,   ,   ,   , Missing Education , D 
 , ,   ,   ,   ,   , Professional Degree , D 
5019,FACEBOOK INC,661,"1,806","2,467","150,000", Master's ,"1,702"
 , ,   ,   ,   ,   , Bachelor's ,546
 , ,   ,   ,   ,   , Doctorate ,216
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Missing Education , D 
2696,TECH MAHINDRA AMERICAS INC,594,"1,851","2,445","79,415", Bachelor's ,"1,530"
 , ,   ,   ,   ,   , Master's ,901
 , ,   ,   ,   ,   , High School ,11
 , ,   ,   ,   ,   , Associate Degree , D 
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
5596,ERNST & YOUNG US LLP,697,"1,731","2,428","96,030", Master's ,"1,573"
 , ,   ,   ,   ,   , Bachelor's ,824
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
5035,HCL AMERICA INC,203,"2,110","2,313","89,896", Bachelor's ,"1,490"
 , ,   ,   ,   ,   , Master's ,820
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , High School , D 
4428,JPMORGAN CHASE & CO,322,"1,880","2,202","114,500", Master's ,"1,148"
 , ,   ,   ,   ,   , Bachelor's ,976
 , ,   ,   ,   ,   , Doctorate ,75
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Some College , D 
2743,INTEL CORPORATION,875,"1,262","2,137","107,350", Master's ,"1,568"
 , ,   ,   ,   ,   , Doctorate ,400
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Professional Degree , D 
5249,ORACLE AMERICA INC,175,"1,475","1,650","126,326", Master's ,972
 , ,   ,   ,   ,   , Bachelor's ,639
 , ,   ,   ,   ,   , Doctorate ,36
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Missing Education , D 
9951,CISCO SYSTEMS INC,327,"1,317","1,644","128,000", Master's ,"1,020"
 , ,   ,   ,   ,   , Bachelor's ,602
 , ,   ,   ,   ,   , Doctorate ,22
1430,IBM INDIA PRIVATE LIMITED,67,"1,547","1,614","81,837", Bachelor's ,"1,036"
 , ,   ,   ,   ,   , Master's ,578
4303,LARSEN & TOUBRO INFOTECH LIMITED,152,"1,264","1,416","84,903", Bachelor's ,"1,120"
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , High School , D 
1591,L&T TECHNOLOGY SERVICES LIMITED,251,906,"1,157","70,044", Bachelor's ,964
 , ,   ,   ,   ,   , Master's ,191
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , High School , D 
1985,IBM CORPORATION,310,817,"1,127","120,349", Master's ,742
 , ,   ,   ,   ,   , Bachelor's ,324
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
9720,MPHASIS CORPORATION,173,907,"1,080","85,000", Bachelor's ,728
 , ,   ,   ,   ,   , Master's ,352
4409,WAL-MART ASSOCIATES INC,339,702,"1,041","117,880", Master's ,643
 , ,   ,   ,   ,   , Bachelor's ,375
 , ,   ,   ,   ,   , Doctorate ,19
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Some College , D 
2018,SYNTEL INC,63,971,"1,034","79,165", Bachelor's ,687
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , High School , D 
1517,DELOITTE & TOUCHE LLP,267,715,982,"80,000", Master's ,577
 , ,   ,   ,   ,   , Bachelor's ,400
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
6545,AMAZON CORPORATE LLC,159,817,976,"126,900", Master's ,704
 , ,   ,   ,   ,   , Bachelor's ,238
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
7090,CUMMINS INC,310,600,910,"83,250", Master's ,669
 , ,   ,   ,   ,   , Bachelor's ,214
 , ,   ,   ,   ,   , Doctorate ,27
5091,MINDTREE LIMITED,149,760,909,"80,993", Bachelor's ,647
 , ,   ,   ,   ,   , Master's ,262
5132,RANDSTAD TECHNOLOGIES LLC,42,828,870,"108,080", Bachelor's ,553
 , ,   ,   ,   ,   , Master's ,317
7787,QUALCOMM TECHNOLOGIES INC,112,750,862,"121,160", Master's ,666
 , ,   ,   ,   ,   , Bachelor's ,134
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
8214,PRICEWATERHOUSECOOPERS ADVISORY SE,111,733,844,"120,000", Master's ,565
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
7665,BANK OF AMERICA NA,180,663,843,"112,500", Master's ,481
 , ,   ,   ,   ,   , Bachelor's ,326
 , ,   ,   ,   ,   , Doctorate ,36
693,SALESFORCE COM INC,116,690,806,"150,000", Master's ,578
 , ,   ,   ,   ,   , Bachelor's ,213
 , ,   ,   ,   ,   , Doctorate ,12
 , ,   ,   ,   ,   , Missing Education , D 
 , ,   ,   ,   ,   , Associate Degree , D 
 , ,   ,   ,   ,   , Some College , D 
2883,VIRTUSA CORPORATION,71,670,741,"105,000", Bachelor's ,483
 , ,   ,   ,   ,   , Master's ,258
2023,LINKEDIN CORPORATION,167,558,725,"155,000", Master's ,517
 , ,   ,   ,   ,   , Bachelor's ,144
 , ,   ,   ,   ,   , Doctorate ,64
9797,UST GLOBAL INC,42,675,717,"76,000", Bachelor's ,464
 , ,   ,   ,   ,   , Master's ,253
8068,AMAZON WEB SERVICES INC,248,463,711,"127,400", Master's ,495
 , ,   ,   ,   ,   , Bachelor's ,203
