,country,count,Country,Latitude,Longitude
0,India,106573,India,20.593684,78.96288
1,China,22406,China,35.86166,104.195397
2,Canada,9300,Canada,56.130366,-106.34677099999999
3,South Korea,7169,South Korea,35.907757000000004,127.766922
4,Taiwan,2396,Taiwan,23.69781,120.96051499999999
5,Philippines,2184,Philippines,12.879721,121.77401699999999
6,Mexico,1657,Mexico,23.634501,-102.552784
7,Nepal,1439,Nepal,28.394857000000002,84.12400799999999
8,Pakistan,1359,Pakistan,30.375321000000003,69.345116
9,United Kingdom,1112,United Kingdom,55.378051,-3.435973
10,Turkey,990,Turkey,38.963745,35.243322
11,Venezuela,923,Venezuela,6.42375,-66.58973
12,Japan,763,Japan,36.204824,138.252924
13,Bangladesh,713,Bangladesh,23.684994,90.35633100000001
14,Singapore,696,Singapore,1.352083,103.819836
15,Vietnam,607,Vietnam,14.058323999999999,108.277199
16,Brazil,584,Brazil,-14.235004,-51.92528
17,Egypt,583,Egypt,26.820553000000004,30.802497999999996
18,Israel,583,Israel,31.046051000000002,34.851612
19,Malaysia,493,Malaysia,4.210483999999999,101.97576600000001
20,Niger,492,Niger,17.607789,8.081666
21,France,473,France,46.227638,2.213749
22,Colombia,465,Colombia,4.570868,-74.297333
23,Germany,435,Germany,51.165690999999995,10.451526
24,Indonesia,387,Indonesia,-0.789275,113.921327
25,Russia,370,Russia,61.52401,105.31875600000001
26,Italy,356,Italy,41.87194,12.56738
27,Sri Lanka,344,Sri Lanka,7.873054,80.77179699999999
28,Spain,307,Spain,40.463667,-3.7492199999999998
29,Thailand,288,Thailand,15.870032,100.992541
30,Australia,254,Australia,-25.274398,133.775136
31,Hong Kong,251,,,
32,Greece,236,Greece,39.074208,21.824312
33,Argentina,234,Argentina,-38.416097,-63.616671999999994
34,Romania,215,Romania,45.943160999999996,24.96676
35,Bulgaria,202,Bulgaria,42.733883,25.48583
36,Jordan,196,Jordan,30.585164000000002,36.238414
37,Kenya,195,Kenya,-0.023559,37.906193
38,Peru,195,Peru,-9.189967,-75.015152
39,United States,180,,,
40,Ghana,167,Ghana,7.946527000000001,-1.0231940000000002
41,Lebanon,165,Lebanon,33.854721000000005,35.862285
42,Ireland,162,Ireland,53.41291,-8.243889999999999
43,Jamaica,155,Jamaica,18.109581,-77.297508
44,Ukraine,152,Ukraine,48.379433,31.16558
45,Ecuador,151,Ecuador,-1.8312389999999998,-78.183406
46,Poland,149,Poland,51.919438,19.145135999999997
47,Mongolia,129,Mongolia,46.862496,103.84665600000001
48,Trinidad And Tobago,114,,,
49,Chile,98,Chile,-35.675146999999996,-71.542969
50,Serbia,84,Serbia,44.016521000000004,21.005859
51,Netherlands,83,Netherlands,52.132633,5.291266
52,South Africa,83,South Africa,-30.559482,22.937506
53,Sweden,80,Sweden,60.128161,18.643501
54,Morocco,79,Morocco,31.791702,-7.09262
55,Ethiopia,78,Ethiopia,9.145,40.489672999999996
56,Zimbabwe,78,Zimbabwe,-19.015438,29.154857
57,New Zealand,77,New Zealand,-40.900557,174.88597099999998
58,El Salvador,73,El Salvador,13.794185,-88.89653
59,Dominica,69,Dominica,15.414999,-61.370976
60,Saudi Arabia,66,Saudi Arabia,23.885942,45.079162
61,Guatemala,64,Guatemala,15.783470999999999,-90.23075899999999
62,Bolivia,63,Bolivia,-16.290154,-63.588653
63,Honduras,63,Honduras,15.199998999999998,-86.241905
64,Albania,61,Albania,41.153332,20.168331
